destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,is_accepted
0,0,0,55.0,14,0,1,0,21,0,1,2,0,37500,0,0,2,3,2,0,0,0,1
0,1,0,80.0,10,1,0,0,21,0,1,2,0,37500,0,0,2,3,2,0,0,0,0
0,1,0,80.0,10,2,0,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,1
0,1,0,80.0,14,1,0,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,0
0,1,0,80.0,14,1,1,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,0
0,1,0,80.0,18,0,0,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,1
0,1,0,55.0,14,2,1,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,1
0,2,0,80.0,10,0,0,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,1
0,2,0,80.0,10,2,0,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,1
0,2,0,80.0,10,3,1,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,0
0,2,0,80.0,14,0,1,0,21,0,1,2,0,37500,0,0,2,3,2,0,0,0,1
0,2,0,55.0,14,0,1,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,1
0,2,0,55.0,18,1,0,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,1
1,0,0,55.0,18,3,1,0,21,0,1,2,0,37500,0,0,2,3,2,0,0,1,1
1,0,0,55.0,18,4,1,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,1
1,0,0,80.0,18,1,0,0,21,0,1,2,0,37500,0,0,2,3,2,0,0,0,0
2,0,0,55.0,7,1,0,0,21,0,1,2,0,37500,0,0,2,3,2,1,1,0,1
2,0,0,55.0,7,3,1,0,21,0,1,2,0,37500,0,0,2,3,2,1,1,0,0
2,0,0,80.0,7,4,1,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,1
2,0,0,80.0,7,2,0,0,21,0,1,2,0,37500,0,0,2,3,2,0,0,1,1
2,0,0,55.0,7,0,1,0,21,0,1,2,0,37500,0,0,2,3,2,0,0,0,0
2,0,0,55.0,7,1,0,0,21,0,1,2,0,37500,0,0,2,3,2,1,0,0,1
0,0,0,55.0,14,0,1,1,21,1,0,4,1,62500,0,1,3,3,1,0,0,0,1
0,1,0,80.0,10,1,0,1,21,1,0,4,1,62500,0,1,3,3,1,0,0,0,0
0,1,0,80.0,10,3,1,1,21,1,0,4,1,62500,0,1,3,3,1,0,0,0,1
0,1,0,80.0,10,2,0,1,21,1,0,4,1,62500,0,1,3,3,1,1,0,0,0
0,1,0,80.0,14,1,1,1,21,1,0,4,1,62500,0,1,3,3,1,0,0,0,0
0,1,0,80.0,14,1,0,1,21,1,0,4,1,62500,0,1,3,3,1,1,0,0,0
0,1,0,80.0,14,1,1,1,21,1,0,4,1,62500,0,1,3,3,1,1,0,0,0
0,1,0,80.0,14,0,1,1,21,1,0,4,1,62500,0,1,3,3,1,1,0,0,1
0,1,0,80.0,18,1,0,1,21,1,0,4,1,62500,0,1,3,3,1,0,0,0,0
0,1,0,80.0,18,0,0,1,21,1,0,4,1,62500,0,1,3,3,1,1,0,0,1
0,1,0,55.0,14,1,0,1,21,1,0,4,1,62500,0,1,3,3,1,0,0,0,0
0,1,0,55.0,14,2,1,1,21,1,0,4,1,62500,0,1,3,3,1,1,0,0,1
0,0,0,55.0,10,1,0,1,21,1,0,4,1,62500,0,1,3,3,1,0,0,0,0
1,0,0,55.0,18,3,1,1,21,1,0,4,1,62500,0,1,3,3,1,0,0,1,1
1,0,0,55.0,18,4,1,1,21,1,0,4,1,62500,0,1,3,3,1,1,0,0,0
1,0,0,80.0,18,1,0,1,21,1,0,4,1,62500,0,1,3,3,1,0,0,0,0
2,0,0,55.0,7,1,0,1,21,1,0,4,1,62500,0,1,3,3,1,1,1,0,0
2,0,0,55.0,7,3,1,1,21,1,0,4,1,62500,0,1,3,3,1,1,1,0,1
2,0,0,80.0,7,4,1,1,21,1,0,4,1,62500,0,1,3,3,1,1,0,0,0
